lemma,lemma_freq,n_surface_forms,surface_forms,fobs_rank,fobs_bin
me,196933753,1,me,70,1
go,196214962,4,"go, going, gone, went",71,1
year,189079305,2,"year, years",72,1
well,183588617,2,"better, well",73,1
any,178544323,1,any,74,1
like,174178665,2,"like, liked",75,1
first,172429084,1,first,76,1
most,165240742,1,most,77,1
give,164574892,3,"gave, give, given",78,1
our,162647972,1,our,79,1
over,162192656,1,over,80,1
then,161019392,1,then,81,1
know,160350540,3,"know, knowing, known",82,1
should,157257237,1,should,83,1
come,151064955,3,"came, come, coming",84,1
people,149869947,1,people,85,1
get,148076607,3,"get, getting, got",86,1
through,147254130,1,through,87,1
even,142969711,2,"even, evening",88,1
new,140488451,1,new,89,1
many,138917121,1,many,90,1
because,136741894,1,because,91,1
where,136128991,1,where,92,1
very,134366972,1,very,93,1
day,133496460,1,day,94,1
way,133443039,1,way,95,1
those,131352362,1,those,96,1
after,131123106,1,after,97,1
how,128607031,1,how,98,1
must,124852809,1,must,99,1
each,121902893,1,each,100,1
case,121845110,2,"case, cases",101,1
high,121634279,3,"high, higher, highest",102,1
look,121177000,3,"look, looked, looking",103,1
life,120194864,1,life,104,1
same,119751381,1,same,105,1
own,117036291,2,"own, owned",106,1
much,116385957,1,much,107,1
both,116011743,1,both,108,1
before,114226587,1,before,109,1
just,113263289,1,just,110,1
now,112827853,1,now,111,1
back,109397117,2,"back, backs",112,1
u,108913586,1,us,113,1
number,106048807,2,"number, numbers",114,1
call,101702070,2,"call, called",115,1
good,99518711,1,good,116,1
under,99197859,1,under,117,1
down,98751710,1,down,118,1
example,98399813,2,"example, examples",119,1
great,98296587,2,"great, greater",120,1
become,97718316,2,"became, become",121,1
hand,97482456,3,"hand, handed, hands",122,1
man,97465290,1,man,123,1
place,97028410,2,"place, placed",124,1
form,96082668,2,"form, forms",125,1
long,95494675,1,long,126,1
different,94725345,1,different,127,1
think,94050466,3,"think, thinking, thinks",128,1
study,94003586,1,studied,129,1
want,92766675,2,"want, wanted",130,1
thing,92730849,2,"thing, things",131,1
american,92613287,1,american,132,1
part,92088752,1,part,133,1
problem,91593391,2,"problem, problems",134,1
right,91408680,1,right,135,1
world,90456522,1,world,136,1
found,90450272,2,"found, founded",137,1
might,86236716,1,might,138,1
large,84286338,2,"large, larger",139,1
without,84166493,1,without,140,1
while,83722224,1,while,141,1
during,83487480,1,during,142,1
another,83344110,1,another,143,1
old,83115047,3,"old, older, oldest",144,1
still,82706155,1,still,145,1
term,82155579,1,term,146,1
too,82143809,1,too,147,1
small,81211884,1,small,148,1
include,80918403,1,including,149,1
against,79033828,1,against,150,1
little,78900753,2,"little, littlest",151,1
name,78081758,3,"name, named, names",152,1
important,77762315,1,important,153,1
here,77002046,1,here,154,1
ask,76175350,3,"ask, asked, asking",155,1
de,75082133,1,de,156,1
thought,74839780,2,"thought, thoughts",157,1
never,74546406,1,never,158,1
end,74524696,2,"end, ended",159,1
often,74180388,1,often,160,1
off,72362056,1,off,161,1
order,71575698,1,order,162,1
help,71127541,3,"help, helped, helping",163,1
set,70534745,1,set,164,1
line,70483116,2,"line, lines",165,1
book,69504877,2,"book, books",166,1
power,69017913,1,power,167,2
low,68566060,2,"low, lower",168,2
point,68533138,1,point,169,2
university,67931680,1,university,170,2
data,67806624,1,data,171,2
cannot,66819566,1,cannot,172,2
around,66671286,1,around,173,2
show,65386825,2,"show, shows",174,2
left,65369345,1,left,175,2
body,64964918,2,"bodies, body",176,2
few,64575815,1,few,177,2
again,64543110,1,again,178,2
water,64469088,1,water,179,2
however,63540861,1,however,180,2
upon,63368120,1,upon,181,2
state,63197335,2,"stated, states",182,2
every,63144706,1,every,183,2
turn,62396291,2,"turn, turned",184,2
begin,61880625,2,"began, beginning",185,2
try,61411758,3,"tried, try, trying",186,2
always,61220587,1,always,187,2
fact,61142902,1,fact,188,2
last,61063522,2,"last, lasting",189,2
government,59840428,1,government,190,2
child,59800335,2,"child, children",191,2
find,59792457,1,find,192,2
seem,59462547,2,"seemed, seems",193,2
side,58627724,1,side,194,2
since,58545854,1,since,195,2
home,58425147,1,home,196,2
eye,57974417,2,"eye, eyes",197,2
possible,57560669,1,possible,198,2
report,57215808,3,"report, reported, reports",199,2
away,56906743,1,away,200,2
among,56872364,1,among,201,2
second,56709426,1,second,202,2
others,56694406,1,others,203,2
something,56397999,1,something,204,2
love,55922452,3,"love, loved, loving",205,2
condition,55885204,2,"condition, conditions",206,2
rather,55879237,1,rather,207,2
later,55784164,1,later,208,2
head,55363876,2,"head, heads",209,2
law,54997976,1,law,210,2
understand,54921162,1,understand,211,2
open,54864158,2,"open, opened",212,2
early,54812804,1,early,213,2
united,54810382,1,united,214,2
until,54630510,1,until,215,2
person,54204685,1,person,216,2
change,54054364,2,"changed, changes",217,2
general,53763610,2,"general, generals",218,2
program,53555288,2,"program, programs",219,2
face,52868252,2,"face, faced",220,2
though,52696046,1,though,221,2
present,52582897,1,present,222,2
cause,52479830,2,"caused, causing",223,2
feel,51875657,2,"feel, feeling",224,2
several,51680241,1,several,225,2
require,51599540,1,required,226,2
reason,51273880,1,reason,227,2
himself,51056413,1,himself,228,2
best,50874818,1,best,229,2
group,50509409,2,"group, groups",230,2
far,50059082,1,far,231,2
school,49507062,1,school,232,2
put,49376612,1,put,233,2
per,49354567,1,per,234,2
four,49087752,1,four,235,2
whether,49005576,1,whether,236,2
market,48590392,2,"market, markets",237,2
least,48582456,1,least,238,2
word,48067530,1,words,239,2
land,47969189,4,"land, landed, landing, lands",240,2
next,47961300,1,next,241,2
above,47783304,1,above,242,2
party,47502158,2,"parties, party",243,2
light,47286016,2,"light, lights",244,2
field,47010585,2,"field, fields",245,2
question,46827229,2,"question, questioned",246,2
sense,46559764,2,"sense, sensed",247,2
period,46472774,1,period,248,2
local,45798436,2,"local, locals",249,2
result,45374035,1,result,250,2
close,45109809,2,"close, closed",251,2
believe,45100908,2,"believe, believed",252,2
shall,44913437,1,shall,253,2
view,44626238,1,view,254,2
once,44407851,1,once,255,2
mother,44388640,2,"mother, mothers",256,2
economic,44242546,1,economic,257,2
move,44221795,2,"move, moved",258,2
research,44020920,1,research,259,2
together,43957560,1,together,260,2
told,43901950,1,told,261,2
interest,43819697,1,interest,262,2
start,43817930,2,"start, started",263,2
certain,43746770,1,certain,264,2
nature,43505346,1,nature,265,2
live,43046728,1,lived,266,2
tell,42840836,2,"tell, telling",267,2
whole,42803829,1,whole,268,2
young,42619892,1,young,269,2
century,42601730,1,century,270,2
room,42569269,1,room,271,2
object,42531704,1,object,272,2
able,42495598,1,able,273,2
involve,42405129,2,"involved, involving",274,2
enough,42301468,1,enough,275,2
type,42273715,1,type,276,2
rate,42059875,1,rate,277,2
along,41977332,1,along,278,2
themselves,41765392,1,themselves,279,2
hour,41752051,1,hour,280,2
event,41639538,2,"event, events",281,2
remain,41009380,2,"remained, remaining",282,2
account,40876327,2,"account, accounts",283,2
already,40871799,1,already,284,2
almost,40784201,1,almost,285,2
knowledge,40687619,1,knowledge,286,2
run,40563278,2,"run, running",287,2
real,40475381,1,real,288,2
position,40450148,1,position,289,2
yet,39957037,1,yet,290,2
full,39841263,1,full,291,2
ever,39805996,1,ever,292,2
im,39638273,1,im,293,2
free,39192789,1,free,294,2
appear,38921406,2,"appear, appeared",295,2
carry,38731449,3,"carried, carry, carrying",296,2
die,38488669,3,"die, died, dying",297,2
clear,38464022,1,clear,298,2
nothing,38429085,1,nothing,299,2
consider,38186219,2,"considered, considering",300,2
let,37976262,1,let,301,2
white,37948322,1,white,302,2
various,37597647,1,various,303,2
night,37510529,1,night,304,2
why,37439826,1,why,305,2
father,37245167,1,father,306,2
knew,37182349,1,knew,307,2
true,37153771,1,true,308,2
money,37145420,1,money,309,2
really,36961130,1,really,310,2
saw,36746641,1,saw,311,2
percent,36620745,1,percent,312,2
subject,36611667,1,subject,313,2
matter,36582008,1,matter,314,2
movement,36498084,1,movements,315,2
keep,36377158,2,"keep, keeps",316,2
text,36367904,2,"text, texts",317,2
half,36278645,1,half,318,2
past,36197622,1,past,319,2
felt,35889439,1,felt,320,2
similar,35543195,1,similar,321,2
held,35236312,1,held,322,2
short,35215395,1,short,323,2
price,35172704,2,"price, prices",324,2
add,35134992,1,added,325,2
establish,34962087,1,established,326,2
future,34678665,2,"future, futures",327,2
thus,34621166,1,thus,328,2
issue,34446824,2,"issue, issued",329,2
black,34294950,1,black,330,2
although,34293908,1,although,331,2
fall,33940476,4,"fall, fallen, falling, falls",332,2
week,33807651,2,"week, weeks",333,3
across,33682916,1,across,334,3
value,33608259,1,values,335,3
occur,33313988,1,occurred,336,3
mean,33028765,1,mean,337,3
toward,32888621,1,toward,338,3
city,32761553,1,city,339,3
heart,32678215,1,heart,340,3
idea,32654099,1,idea,341,3
related,32471782,1,related,342,3
quite,32424104,1,quite,343,3
effect,32198969,1,effects,344,3
answer,32110679,2,"answer, answered",345,3
walk,32004122,2,"walked, walking",346,3
note,31861647,2,"note, notes",347,3
likely,31832191,1,likely,348,3
story,31595058,1,story,349,3
sound,31566734,2,"sound, sounded",350,3
practice,31369864,1,practice,351,3
british,31315885,1,british,352,3
air,31277584,1,air,353,3
cost,31212232,1,cost,354,3
receive,31118044,2,"received, receiving",355,3
voice,30750081,1,voice,356,3
material,30705891,1,material,357,3
special,30132933,2,"special, specials",358,3
difficult,29966493,1,difficult,359,3
anything,29918715,1,anything,360,3
play,29832939,1,play,361,3
suggest,29775349,1,suggested,362,3
food,29768787,1,food,363,3
culture,29727119,1,culture,364,3
brought,29618021,1,brought,365,3
described,29601923,1,described,366,3
living,29569532,1,living,367,3
main,29437798,1,main,368,3
girl,29397378,2,"girl, girls",369,3
house,29316743,2,"house, houses",370,3
stand,29283752,2,"stand, standing",371,3
lose,29215478,2,"losing, lost",372,3
need,29198561,1,needed,373,3
situation,29153658,1,situation,374,3
moment,29123824,1,moment,375,3
late,29067082,1,late,376,3
response,28758864,1,response,377,3
outside,28641062,1,outside,378,3
behind,28598426,1,behind,379,3
risk,28582434,1,risk,380,3
strong,28509360,1,strong,381,3
door,28468168,1,door,382,3
simply,28445238,1,simply,383,3
court,28250928,1,court,384,3
stop,28123721,2,"stop, stopped",385,3
bring,28089997,2,"bring, bringing",386,3
longer,28040212,1,longer,387,3
perhaps,27788792,1,perhaps,388,3
particularly,27491414,1,particularly,389,3
level,27247134,1,levels,390,3
decision,27152106,1,decision,391,3
bad,27105940,2,"bad, worse",392,3
near,26915276,1,near,393,3
soon,26497323,1,soon,394,3
heard,26357604,1,heard,395,3
french,26321301,1,french,396,3
top,26274935,1,top,397,3
trade,26244446,1,trade,398,3
boy,26025270,2,"boy, boys",399,3
big,25967171,2,"big, bigger",400,3
month,25863713,1,months,401,3
job,25803539,1,job,402,3
accord,25603011,2,"accord, according",403,3
decide,25592323,2,"decide, decided",404,3
below,25562587,1,below,405,3
generally,25469457,1,generally,406,3
simple,25423655,1,simple,407,3
source,25399984,1,source,408,3
ground,25370252,1,ground,409,3
parent,25278253,1,parents,410,3
cut,25054366,2,"cut, cutting",411,3
income,24966740,1,income,412,3
alone,24587884,1,alone,413,3
fear,24384704,3,"fear, feared, fears",414,3
office,24308787,1,office,415,3
military,24266208,1,military,416,3
north,24140988,1,north,417,3
sell,24063937,3,"sell, selling, sold",418,3
wife,24047871,1,wife,419,3
poor,24040312,1,poor,420,3
reach,23969373,2,"reached, reaching",421,3
rest,23781741,1,rest,422,3
follow,23689125,1,followed,423,3
rise,23658110,2,"rise, rose",424,3
act,23543949,1,act,425,3
nor,23501188,1,nor,426,3
enter,23478542,2,"enter, entered",427,3
today,23436226,1,today,428,3
else,23413085,1,else,429,3
modern,23333779,1,modern,430,3
foot,23073556,1,feet,431,3
complete,23000029,1,complete,432,3
friend,22974473,1,friends,433,3
continue,22965798,1,continue,434,3
pay,22850702,1,pay,435,3
original,22804125,1,original,436,3
europe,22628420,1,europe,437,3
everything,22592480,1,everything,438,3
individual,22589212,1,individuals,439,3
figure,22558429,2,"figure, figured",440,3
actually,22550287,1,actually,441,3
rule,22483902,1,rule,442,3
piece,22420191,1,piece,443,3
stage,22343407,1,stage,444,3
region,22280073,1,region,445,3
limited,22223315,1,limited,446,3
create,22166125,1,created,447,3
lord,22162117,1,lord,448,3
basic,22140233,1,basic,449,3
church,22128712,1,church,450,3
morning,22128226,1,morning,451,3
someone,22087220,1,someone,452,3
visit,22045480,3,"visit, visited, visiting",453,3
hundred,22030525,2,"hundred, hundreds",454,3
expect,21880269,1,expected,455,3
message,21852776,3,"message, messages, messaging",456,3
million,21837221,1,million,457,3
demand,21709193,2,"demand, demanded",458,3
presence,21692148,1,presence,459,3
final,21602425,1,final,460,3
positive,21509569,1,positive,461,3
status,21483011,1,status,462,3
england,21443938,1,england,463,3
lot,21269989,1,lot,464,3
truth,21212229,1,truth,465,3
music,21118941,1,music,466,3
sent,21109114,1,sent,467,3
publish,21084592,1,published,468,3
town,21082393,1,town,469,3
write,20759269,1,wrote,470,3
expression,20601318,1,expression,471,3
contract,20489826,3,"contract, contracted, contracts",472,3
fire,20358097,1,fire,473,3
primary,20241884,1,primary,474,3
towards,20140341,1,towards,475,3
june,20075593,1,june,476,3
herself,20074494,1,herself,477,3
middle,19971508,1,middle,478,3
brother,19963734,2,"brother, brothers",479,3
kept,19944712,1,kept,480,3
minute,19913825,1,minutes,481,3
car,19890198,1,car,482,3
conduct,19823843,2,"conduct, conducted",483,3
pain,19787856,1,pain,484,3
inside,19763820,1,inside,485,3
smile,19659169,3,"smile, smiled, smiling",486,3
yes,19605775,1,yes,487,3
meet,19601213,1,meet,488,3
thousand,19539335,2,"thousand, thousands",489,3
variety,19492489,2,"varieties, variety",490,3
choice,19468150,1,choice,491,3
myself,19447387,1,myself,492,3
instead,19406033,1,instead,493,3
ten,19239259,1,ten,494,3
red,19233374,1,red,495,3
sit,19183751,2,"sit, sitting",496,3
solution,19087669,1,solution,497,3
meeting,18991526,1,meeting,498,3
grow,18974497,2,"grew, grow",499,4
wide,18934643,1,wide,500,4
kill,18838145,2,"kill, killed",501,4
learn,18725006,1,learn,502,4
hear,18622526,1,hear,503,4
met,18391232,1,met,504,4
extent,18293383,1,extent,505,4
july,18277074,1,july,506,4
easy,18267075,1,easy,507,4
notice,18229359,2,"notice, noticed",508,4
quickly,18146835,1,quickly,509,4
cover,18122702,2,"cover, covering",510,4
dead,18094749,1,dead,511,4
instance,18016127,1,instance,512,4
allow,17955384,1,allowed,513,4
street,17889349,2,"street, streets",514,4
task,17857915,1,task,515,4
drop,17707105,3,"drop, dropped, drops",516,4
april,17677275,1,april,517,4
dark,17668371,1,dark,518,4
indeed,17667180,1,indeed,519,4
style,17652570,1,style,520,4
highly,17644939,1,highly,521,4
easily,17543865,1,easily,522,4
stood,17437380,1,stood,523,4
author,17424357,1,author,524,4
paid,17418963,1,paid,525,4
popular,17347904,1,popular,526,4
bed,17264116,1,bed,527,4
finally,17208239,1,finally,528,4
obtain,17042186,1,obtained,529,4
watch,16811317,2,"watch, watching",530,4
earth,16796169,1,earth,531,4
effort,16657004,1,effort,532,4
failure,16636624,1,failure,533,4
wall,16611174,1,wall,534,4
hair,16590025,1,hair,535,4
strength,16565468,1,strength,536,4
serious,16553118,1,serious,537,4
suppose,16491706,2,"suppose, supposed",538,4
window,16418243,1,window,539,4
september,16292384,1,september,540,4
remains,16274457,1,remains,541,4
january,16220794,1,january,542,4
horse,16092626,1,horse,543,4
ready,16067422,1,ready,544,4
release,16054776,2,"release, released",545,4
actual,16047083,1,actual,546,4
arm,15980830,1,arms,547,4
successful,15958427,1,successful,548,4
ago,15950013,1,ago,549,4
internal,15832625,1,internal,550,4
sea,15805476,1,sea,551,4
floor,15763266,1,floor,552,4
picture,15757363,1,picture,553,4
professional,15752421,1,professional,554,4
nearly,15730154,1,nearly,555,4
medium,15729852,1,media,556,4
post,15719371,1,post,557,4
offer,15628242,1,offered,558,4
fine,15623119,1,fine,559,4
certainly,15468602,1,certainly,560,4
sort,15450103,1,sort,561,4
lie,15228759,2,"lies, lying",562,4
fully,15213503,1,fully,563,4
meant,15115492,1,meant,564,4
majority,15101239,1,majorities,565,4
stay,15085046,1,stay,566,4
cold,14949741,1,cold,567,4
charles,14871871,1,charles,568,4
completely,14829586,1,completely,569,4
sat,14799021,1,sat,570,4
o,14670016,1,o,571,4
wait,14619384,2,"wait, waited",572,4
november,14535630,1,november,573,4
avoid,14527295,1,avoid,574,4
identify,14492759,1,identified,575,4
everyone,14473465,1,everyone,576,4
anyone,14355821,1,anyone,577,4
round,14284199,1,round,578,4
mile,14192801,1,miles,579,4
doubt,14188519,1,doubt,580,4
rock,14134104,2,"rock, rocks",581,4
balance,14110170,1,balance,582,4
soviet,14092223,1,soviet,583,4
conclusion,14061229,2,"conclusion, conclusions",584,4
propose,14002097,1,proposed,585,4
neither,14001676,1,neither,586,4
stone,13857725,2,"stone, stones",587,4
san,13788000,1,san,588,4
daughter,13702865,1,daughter,589,4
disorder,13627140,1,disorder,590,4
shape,13600507,1,shape,591,4
sister,13596557,2,"sister, sisters",592,4
understood,13568850,1,understood,593,4
lay,13552915,1,lay,594,4
connection,13490410,1,connection,595,4
board,13482309,1,board,596,4
enjoy,13474523,2,"enjoy, enjoyed",597,4
chance,13447740,1,chance,598,4
heavy,13424014,1,heavy,599,4
argue,13396001,2,"argued, arguing",600,4
press,13390537,1,press,601,4
blue,13285921,1,blue,602,4
mouth,13275186,1,mouth,603,4
king,13253011,1,king,604,4
star,13206597,3,"star, stared, staring",605,4
collection,13163156,1,collection,606,4
unless,13150478,1,unless,607,4
february,13102292,1,february,608,4
played,13062452,1,played,609,4
summer,13037148,1,summer,610,4
introduce,12941807,1,introduced,611,4
green,12917565,1,green,612,4
beautiful,12851183,1,beautiful,613,4
claim,12835191,1,claims,614,4
soul,12819375,1,soul,615,4
shoulder,12732984,1,shoulders,616,4
description,12722779,1,description,617,4
tree,12681082,1,trees,618,4
pull,12657200,2,"pulled, pulling",619,4
explain,12566891,1,explained,620,4
request,12558172,2,"request, requests",621,4
sun,12492350,1,sun,622,4
rich,12456985,1,rich,623,4
bank,12431371,1,bank,624,4
fell,12415770,1,fell,625,4
fill,12364416,1,filled,626,4
maintain,12314211,1,maintain,627,4
age,12288870,1,age,628,4
worth,12274006,1,worth,629,4
scene,12232135,1,scene,630,4
arrive,12208049,1,arrived,631,4
happy,12121639,1,happy,632,4
sleep,12082335,1,sleep,633,4
fish,12018637,2,"fish, fishes",634,4
mountain,12001607,2,"mountain, mountains",635,4
leave,11955888,1,leaving,636,4
wood,11955483,2,"wood, woods",637,4
formal,11940654,1,formal,638,4
onto,11889539,1,onto,639,4
locate,11818537,1,located,640,4
recently,11702311,1,recently,641,4
hold,11695702,1,holding,642,4
fast,11581233,1,fast,643,4
test,11483917,1,tests,644,4
signal,11412767,1,signal,645,4
chair,11403911,2,"chair, chairs",646,4
realize,11390177,1,realizing,647,4
couple,11386681,1,couple,648,4
ran,11331563,1,ran,649,4
machine,11313867,1,machine,650,4
leaf,11306879,1,leaves,651,4
thirty,11266853,2,"thirties, thirty",652,4
drawn,11256498,1,drawn,653,4
background,11241036,1,background,654,4
achieve,11214067,1,achieve,655,4
bird,11185623,2,"bird, birds",656,4
flower,11177270,3,"flower, flowering, flowers",657,4
baby,11074167,1,baby,658,4
appearance,11013949,1,appearance,659,4
spoke,11008911,1,spoke,660,4
seat,10975502,2,"seat, seated",661,4
audience,10967125,1,audience,662,4
corner,10957482,2,"corner, corners",663,4
mexico,10951300,1,mexico,664,4
fly,10885324,3,"flies, fly, flying",665,5
slowly,10859756,1,slowly,666,5
imagine,10850261,1,imagined,667,5
wind,10825311,1,wind,668,5
slow,10787631,2,"slow, slowed",669,5
buy,10703771,1,buy,670,5
ear,10696107,2,"ear, ears",671,5
combination,10668310,1,combination,672,5
master,10649270,1,master,673,5
straight,10602691,1,straight,674,5
information,10601544,1,information,675,5
phone,10537598,1,phone,676,5
sought,10466942,1,sought,677,5
suddenly,10432550,1,suddenly,678,5
dry,10398401,1,dry,679,5
perform,10367531,1,perform,680,5
competition,10329180,1,competition,681,5
television,10312204,1,television,682,5
store,10270499,1,store,683,5
carefully,10230063,1,carefully,684,5
fair,10168232,1,fair,685,5
discover,10134571,1,discovered,686,5
shot,10073717,1,shot,687,5
annual,10029078,1,annual,688,5
safe,10018666,1,safe,689,5
secondary,10003804,1,secondary,690,5
purchase,9902630,2,"purchase, purchases",691,5
increasingly,9891935,1,increasingly,692,5
severe,9854989,1,severe,693,5
square,9853529,1,square,694,5
mid,9851397,1,mid,695,5
chosen,9821287,1,chosen,696,5
minimum,9813077,1,minimum,697,5
trouble,9674701,1,trouble,698,5
bar,9621120,1,bar,699,5
sight,9606496,1,sight,700,5
brown,9564348,1,brown,701,5
combine,9485910,1,combined,702,5
hit,9467805,1,hit,703,5
fresh,9401087,1,fresh,704,5
widely,9397908,1,widely,705,5
broken,9395520,1,broken,706,5
ideal,9395146,1,ideal,707,5
pretty,9374625,1,pretty,708,5
famous,9360112,1,famous,709,5
subsequent,9257747,1,subsequent,710,5
screen,9231682,1,screen,711,5
document,9219329,1,documents,712,5
direct,9211710,1,directed,713,5
witness,9188264,2,"witness, witnesses",714,5
willing,9182351,1,willing,715,5
agree,9151314,1,agree,716,5
nine,9145840,1,nine,717,5
reply,9141323,1,replied,718,5
forest,9078094,1,forest,719,5
regard,9025301,1,regarded,720,5
solid,9023598,1,solid,721,5
iron,9018328,1,iron,722,5
finish,8993459,1,finished,723,5
record,8986854,1,recorded,724,5
hall,8981738,1,hall,725,5
false,8965826,1,false,726,5
secret,8933332,1,secret,727,5
warm,8890485,1,warm,728,5
possibly,8857661,1,possibly,729,5
narrative,8853574,1,narrative,730,5
capable,8807187,1,capable,731,5
psychological,8707142,1,psychological,732,5
nuclear,8685357,1,nuclear,733,5
unable,8683177,1,unable,734,5
army,8591041,1,army,735,5
introduction,8578633,1,introduction,736,5
prove,8557322,1,prove,737,5
apparently,8551823,1,apparently,738,5
rapidly,8534482,1,rapidly,739,5
apart,8514887,1,apart,740,5
refer,8430029,1,refer,741,5
cry,8417576,2,"cried, crying",742,5
closer,8390061,1,closer,743,5
despite,8358374,1,despite,744,5
profit,8308084,1,profit,745,5
generate,8249792,1,generated,746,5
season,8243351,1,season,747,5
match,8221736,2,"match, matches",748,5
theory,8195005,1,theories,749,5
specifically,8183969,1,specifically,750,5
ice,8173957,1,ice,751,5
resolve,8146156,2,"resolve, resolved",752,5
claimed,8138532,1,claimed,753,5
advance,8091306,1,advance,754,5
maybe,8076865,1,maybe,755,5
ignore,8060523,1,ignored,756,5
clean,8058996,1,clean,757,5
payment,8039886,1,payment,758,5
absolute,8009591,1,absolute,759,5
join,7989363,1,join,760,5
argument,7973275,1,arguments,761,5
scheme,7912043,1,scheme,762,5
noise,7880836,1,noise,763,5
pair,7856480,1,pair,764,5
article,7847267,1,articles,765,5
wonder,7823541,2,"wondered, wondering",766,5
engage,7793318,1,engaged,767,5
experimental,7782812,1,experimental,768,5
drink,7737324,1,drink,769,5
afraid,7681021,1,afraid,770,5
incident,7674294,2,"incident, incidents",771,5
leg,7656636,1,legs,772,5
personality,7645081,1,personality,773,5
till,7643652,1,till,774,5
fellow,7640878,1,fellow,775,5
peak,7611544,1,peak,776,5
cast,7604932,1,cast,777,5
garden,7558249,1,garden,778,5
investigation,7528688,1,investigation,779,5
examine,7511339,1,examine,780,5
crowd,7498199,2,"crowd, crowds",781,5
sky,7458490,1,sky,782,5
item,7431579,1,item,783,5
thick,7423431,1,thick,784,5
assign,7404078,1,assigned,785,5
achievement,7377285,2,"achievement, achievements",786,5
waste,7350025,1,waste,787,5
northern,7347097,1,northern,788,5
suspect,7343497,1,suspected,789,5
normally,7271856,1,normally,790,5
driven,7179813,1,driven,791,5
song,7155630,1,song,792,5
greatly,7110695,1,greatly,793,5
characterize,7084259,1,characterized,794,5
yellow,7043215,1,yellow,795,5
conclude,7036244,1,concluded,796,5
bright,6970967,1,bright,797,5
touch,6963799,1,touched,798,5
settle,6959663,1,settled,799,5
fight,6930258,1,fighting,800,5
forty,6900914,1,forty,801,5
expose,6899661,1,exposed,802,5
slip,6899356,3,"slip, slipped, slipping",803,5
secretary,6886403,1,secretary,804,5
sunday,6862790,1,sunday,805,5
lady,6862097,1,lady,806,5
weather,6846495,1,weather,807,5
alive,6843173,1,alive,808,5
syndrome,6842877,1,syndrome,809,5
journey,6826751,1,journey,810,5
ultimately,6805000,1,ultimately,811,5
expectation,6791104,1,expectations,812,5
proof,6786238,1,proof,813,5
phenomenon,6733400,1,phenomenon,814,5
anger,6714851,1,anger,815,5
conference,6698327,1,conference,816,5
interaction,6686819,1,interactions,817,5
twelve,6676403,1,twelve,818,5
personnel,6648831,1,personnel,819,5
talk,6615885,1,talked,820,5
bought,6604892,1,bought,821,5
dress,6577482,1,dress,822,5
project,6571982,1,project,823,5
cloud,6554700,2,"cloud, clouds",824,5
roll,6554103,2,"rolled, rolling",825,5
silver,6488905,1,silver,826,5
surprise,6442612,1,surprise,827,5
recovery,6416061,1,recovery,828,5
hidden,6412449,1,hidden,829,5
suffer,6386210,1,suffered,830,5
scholar,6373667,1,scholars,831,6
guard,6370100,2,"guard, guarded",832,6
pick,6368929,1,pick,833,6
drew,6347750,1,drew,834,6
accompany,6335492,1,accompanied,835,6
drive,6322359,1,driving,836,6
researcher,6315379,1,researchers,837,6
within,6298400,1,within,838,6
prefer,6241124,1,preferred,839,6
rational,6216696,1,rational,840,6
teeth,6197192,1,teeth,841,6
wonderful,6181671,1,wonderful,842,6
